iter	Logloss
0	0.6780762329
1	0.6641555786
2	0.6510031738
3	0.638960144
4	0.6279504395
5	0.6173425293
6	0.6068280029
7	0.5978411865
8	0.588642334
9	0.5801530151
10	0.5726785278
11	0.5646079102
12	0.5577442017
13	0.552145752
14	0.545262085
15	0.5390908813
16	0.5331715698
17	0.5277166748
18	0.5225334473
19	0.5176755981
20	0.5132785645
21	0.5088405457
22	0.5044443359
23	0.5008606567
24	0.4968838196
25	0.4930892944
26	0.4898406982
27	0.48670755
28	0.4841569214
29	0.4813102417
30	0.4782858887
31	0.4757415466
32	0.4733438721
33	0.4708070679
34	0.4682387695
35	0.4659011536
36	0.4635041809
37	0.4613426514
38	0.4591824646
39	0.4575195618
40	0.4558189392
41	0.4541512451
42	0.4525397949
43	0.4511673279
44	0.4495988159
45	0.448053833
46	0.4467920227
47	0.4457923584
48	0.4444884338
49	0.4434446411
50	0.4424893799
51	0.441397644
52	0.4403180237
53	0.4394035645
54	0.4383617249
55	0.4377671509
56	0.436834198
57	0.4359466553
58	0.4352689514
59	0.4344314575
60	0.4336774902
61	0.432819519
62	0.4322842102
63	0.4316105042
64	0.4309622192
65	0.430359314
66	0.4296212158
67	0.4289422302
68	0.4284664612
69	0.4278740234
70	0.427329834
71	0.426715271
72	0.4262285767
73	0.4257243652
74	0.4252277222
75	0.4247240601
76	0.4242550049
77	0.4237775879
78	0.4233278809
79	0.4228765869
80	0.4223702393
81	0.4220892334
82	0.4216575928
83	0.4212518921
84	0.4208235168
85	0.420393219
86	0.41997229
87	0.4196931763
88	0.4192667542
89	0.4188848877
90	0.4186181641
91	0.4182937012
92	0.4179529114
93	0.4176043396
94	0.4173419189
95	0.4170299683
96	0.4167197571
97	0.4164207153
98	0.4160646973
99	0.4158008423
100	0.4155053101
101	0.4152531128
102	0.4149832764
103	0.4146742554
104	0.414414978
105	0.4141621094
106	0.4139412842
107	0.4137685547
108	0.4134962463
109	0.4131575012
110	0.4129465027
111	0.4127081909
112	0.4124829712
113	0.4122504272
114	0.4120856628
115	0.4119332275
116	0.4117331543
117	0.4115549316
118	0.4114286499
119	0.4112419434
120	0.41100177
121	0.4107867432
122	0.4106229858
123	0.4104557495
124	0.4103525391
125	0.4101727905
126	0.40999823
127	0.409862915
128	0.4096395264
129	0.4094317017
130	0.4093387146
131	0.4092199707
132	0.4090172729
133	0.4088091431
134	0.4086531982
135	0.4084707031
136	0.4082993774
137	0.4080519409
138	0.4078995361
139	0.407767395
140	0.4077281189
141	0.4075969543
142	0.4074213257
143	0.4073002625
144	0.4071187744
145	0.4069973145
146	0.4068864136
147	0.4066988525
148	0.4066245422
149	0.406473877
150	0.4063555298
151	0.4061951294
152	0.4061560059
153	0.405893219
154	0.4057726135
155	0.4056697388
156	0.4054837036
157	0.4053108521
158	0.405190979
159	0.405024231
160	0.4048381348
161	0.4047158813
162	0.404551239
163	0.4043827209
164	0.404299469
165	0.4041883545
166	0.4040505981
167	0.403826355
168	0.4036793823
169	0.403515564
170	0.4034056396
171	0.403236145
172	0.4031015015
173	0.4029945984
174	0.4028800354
175	0.4027789917
176	0.402672821
177	0.4024959717
178	0.4024263611
179	0.4022919922
180	0.4021147156
181	0.4019999084
182	0.4018592834
183	0.4017793884
184	0.4016239319
185	0.4015331421
186	0.4014005127
187	0.4013825073
188	0.4012958679
189	0.4012705078
190	0.4011488342
191	0.4010310974
192	0.4009026489
193	0.4007263794
194	0.4005690308
195	0.4004386902
196	0.4003335571
197	0.4002011719
198	0.400076416
199	0.3999636841
200	0.3998487549
201	0.3997560425
202	0.3996477356
203	0.3995283508
204	0.3994701233
205	0.3993663025
206	0.3991219177
207	0.3989873657
208	0.3988690491
209	0.3986900635
210	0.3985595703
211	0.3984456177
212	0.3983413696
213	0.3982362061
214	0.3981547852
215	0.3979468994
